Date,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SUNPHARMA.NS
2021-07-19,688.279052734375,1342.7781982421875,163.58029174804688,1512.6431884765625,950.652099609375,654.3135986328125
2021-07-20,675.2481079101562,1350.05078125,162.83230590820312,1494.5528564453125,948.3195190429688,642.1624755859375
2021-07-22,677.8449096679688,1385.0203857421875,162.98974609375,1543.232421875,960.5029907226562,652.4625244140625
2021-07-23,675.0609130859375,1385.2381591796875,167.24168395996094,1514.6636962890625,953.7091674804688,658.8228759765625
2021-07-26,671.22412109375,1396.952880859375,166.2574462890625,1501.3660888671875,940.642578125,667.7464599609375
2021-07-27,673.6571655273438,1395.777099609375,164.28897094726562,1511.37451171875,930.7462768554688,653.4119262695312
2021-07-28,663.1528930664062,1398.4334716796875,164.64328002929688,1515.1285400390625,922.7522583007812,652.9371337890625
2021-07-29,663.5974731445312,1408.362548828125,162.24176025390625,1516.8392333984375,929.9536743164062,667.3666381835938
2021-07-30,667.4340209960938,1402.7012939453125,161.37559509277344,1522.0189208984375,921.8239135742188,734.7203979492188
2021-08-02,665.6561279296875,1421.03515625,163.22598266601562,1533.8990478515625,938.67236328125,735.7173461914062
2021-08-03,671.2943115234375,1441.6336669921875,165.273193359375,1553.287109375,945.579345703125,754.5136108398438
2021-08-04,685.6119995117188,1436.451416015625,164.2495880126953,1542.690185546875,952.8260498046875,745.92236328125
2021-08-05,694.7594604492188,1440.1966552734375,169.48573303222656,1546.6820068359375,966.6400756835938,746.3020629882812
2021-08-06,698.4090576171875,1437.27880859375,168.69837951660156,1530.4775390625,946.1681518554688,745.4002075195312
2021-08-09,703.6729125976562,1448.6885986328125,168.3440399169922,1518.2174072265625,940.7784423828125,748.8176879882812
2021-08-10,705.427490234375,1460.838623046875,165.2338409423828,1509.6636962890625,945.7152099609375,753.1370849609375
2021-08-11,699.4852294921875,1461.099853515625,164.28897094726562,1504.769287109375,958.963134765625,740.03662109375
2021-08-12,702.5031127929688,1471.5950927734375,164.48582458496094,1542.927734375,955.88330078125,739.1822509765625
2021-08-13,714.1070556640625,1491.2791748046875,166.49365234375,1585.6483154296875,971.8032836914062,738.8499755859375
2021-08-16,716.1658325195312,1484.4857177734375,166.06057739257812,1573.9583740234375,984.4170532226562,741.2232055664062
2021-08-17,708.7028198242188,1516.9293212890625,164.72203063964844,1557.46875,980.2275390625,744.4036254882812
2021-08-18,707.9307861328125,1509.7872314453125,164.52517700195312,1551.8616943359375,984.0321044921875,743.2168579101562
2021-08-20,708.7495727539062,1509.351806640625,164.48582458496094,1514.558349609375,972.9808959960938,722.5693359375
2021-08-23,713.3583984375,1514.4033203125,162.4385986328125,1502.3458251953125,979.3670654296875,722.7595825195312
2021-08-24,729.3839111328125,1498.8128662109375,162.00552368164062,1526.1533203125,989.0369262695312,734.181396484375
2021-08-25,728.70556640625,1511.6163330078125,162.51734924316406,1514.74853515625,997.5970458984375,731.9921875
2021-08-26,727.4888916015625,1504.779052734375,161.1000213623047,1516.6016845703125,1010.2108154296875,723.9017944335938
2021-08-27,724.5177612304688,1488.3179931640625,162.12364196777344,1556.8511962890625,1008.829345703125,734.6097412109375
2021-08-30,733.7822265625,1478.9549560546875,163.7771759033203,1577.760009765625,1028.23681640625,749.2677001953125
2021-08-31,739.9351806640625,1486.27099609375,166.3755340576172,1589.259765625,1022.756591796875,755.7874755859375
2021-09-01,738.8589477539062,1461.274169921875,164.958251953125,1602.7554931640625,1026.8101806640625,750.5049438476562
2021-09-02,743.4910278320312,1471.15966796875,165.15509033203125,1602.5654296875,1039.1749267578125,751.8851928710938
2021-09-03,737.4318237304688,1481.219482421875,165.82437133789062,1607.6025390625,1081.79443359375,751.3616333007812
2021-09-06,732.5890502929688,1507.130859375,164.80076599121094,1610.168701171875,1098.5977783203125,746.459716796875
2021-09-07,734.2501220703125,1486.4453125,166.72988891601562,1598.28857421875,1105.52734375,732.8013305664062
2021-09-08,737.5955200195312,1474.774169921875,166.336181640625,1583.89013671875,1101.201904296875,739.9874877929688
2021-09-09,733.9458618164062,1473.3370361328125,167.43853759765625,1587.2166748046875,1098.5977783203125,738.8928833007812
2021-09-13,727.8399047851562,1473.598388671875,168.6195831298828,1588.7845458984375,1074.11767578125,742.7001953125
2021-09-14,724.5646362304688,1468.5902099609375,170.15501403808594,1612.3070068359375,1072.7135009765625,743.7471313476562
2021-09-15,723.7457885742188,1490.6260986328125,170.0762939453125,1631.837890625,1077.1746826171875,743.0333862304688
2021-09-16,729.8986206054688,1482.613037109375,181.69029235839844,1635.876953125,1099.7752685546875,743.4139404296875
2021-09-17,740.2860107421875,1473.0758056640625,182.00526428222656,1631.077392578125,1082.722900390625,732.8013305664062
2021-09-20,729.851806640625,1470.071044921875,184.0524444580078,1619.815185546875,1084.444091796875,720.0469970703125
2021-09-21,726.1554565429688,1496.72265625,190.1547393798828,1635.54443359375,1089.1317138671875,727.6614379882812
2021-09-22,717.6162719726562,1495.3726806640625,191.72952270507812,1626.04052734375,1100.817138671875,732.9915771484375
2021-09-23,734.6009521484375,1517.713134765625,190.942138671875,1681.9239501953125,1127.7203369140625,732.7537231445312
2021-09-24,749.3632202148438,1536.264892578125,187.75320434570312,1681.0211181640625,1124.459228515625,733.3248291015625
2021-09-27,760.3822021484375,1499.0743408203125,187.95005798339844,1653.3167724609375,1143.3685302734375,726.2813720703125
2021-09-28,755.6798095703125,1469.41748046875,187.2020263671875,1650.988525390625,1154.0574951171875,737.750732421875
2021-09-29,745.7603149414062,1473.9034423828125,187.47760009765625,1635.639404296875,1144.9085693359375,772.206298828125
2021-09-30,746.2750244140625,1459.0531005859375,185.94219970703125,1618.484619140625,1141.0135498046875,778.8214111328125
2021-10-01,740.5432739257812,1450.2998046875,185.31228637695312,1612.73486328125,1143.0289306640625,786.76904296875
2021-10-04,741.9703369140625,1462.14501953125,186.29652404785156,1630.1746826171875,1157.72607421875,791.9088745117188
2021-10-05,746.509033203125,1474.3822021484375,184.80047607421875,1631.5526123046875,1181.75341796875,780.9630737304688
2021-10-06,755.6096801757812,1457.6160888671875,182.083984375,1610.9765625,1159.402099609375,762.02197265625
2021-10-07,753.5509033203125,1472.814697265625,183.4225311279297,1627.513427734375,1165.086181640625,783.58056640625
2021-10-08,749.8778686523438,1501.4259033203125,182.4383087158203,1641.246826171875,1209.8570556640625,781.819580078125
2021-10-11,764.4530029296875,1472.7708740234375,187.43824768066406,1631.7427978515625,1201.4326171875,792.432373046875
2021-10-12,762.4876708984375,1467.7193603515625,189.9972381591797,1632.9781494140625,1208.29443359375,789.7197265625
2021-10-13,767.0731811523438,1488.666259765625,196.2176513671875,1665.1494140625,1220.5911865234375,801.9503173828125
2021-10-14,789.5322875976562,1494.3712158203125,202.00497436523438,1700.5517578125,1223.0594482421875,800.7607421875
2021-10-18,781.53125,1560.91357421875,206.7292938232422,1699.7440185546875,1226.3206787109375,795.6210327148438
2021-10-19,790.140625,1587.0423583984375,193.6586456298828,1754.487060546875,1237.3038330078125,787.48291015625
2021-10-20,783.1922607421875,1569.7972412109375,194.17041015625,1717.088623046875,1223.0594482421875,775.6329345703125
2021-10-21,784.338623046875,1527.3809814453125,192.67437744140625,1716.185791015625,1187.7772216796875,778.9642333984375
2021-10-22,786.4207763671875,1497.8985595703125,186.29652404785156,1703.35546875,1189.9964599609375,773.3961181640625
2021-10-25,775.3081665039062,1487.2293701171875,183.77685546875,1695.6572265625,1178.40185546875,774.0147705078125
2021-10-26,773.319580078125,1497.0263671875,186.37525939941406,1707.156982421875,1205.2371826171875,774.3003540039062
2021-10-27,768.6640625,1519.2135009765625,187.75320434570312,1696.037353515625,1189.9964599609375,785.34130859375
2021-10-28,745.6433715820312,1497.2022705078125,177.2415313720703,1724.2642822265625,1176.9525146484375,768.6846313476562
2021-10-29,740.6134643554688,1465.4376220703125,175.7454833984375,1679.0252685546875,1148.7132568359375,756.6917724609375
